Id  country  name  lat  lng
394  PL  Nidzica  53.36052  20.42749
395  PL  Mszana Dolna  49.67432  20.07992
396  PL  Niebieszczany  49.50348  22.15651
397  PL  Niebor\u00F3w  52.07771  20.06902
398  PL  Narew  52.91418  23.51984
399  PL  Niebylec  49.85669  21.90348
400  PL  Nowa D\u0119ba  50.42974  21.75078
401  PL  Odrzyw\u00F3\u0142  51.51953  20.55559
402  PL  Nowogr\u00F3d  53.22698  21.8821
403  PL  Nowosielce  50.05747  22.41056
404  PL  Nowosielce-Gniewosz  49.56842  22.06947
405  PL  Nowy Dw\u00F3r Mazowiecki  52.43022  20.71652
406  PL  Nowy Korczyn  50.30124  20.80759
407  PL  Nowy S\u0105cz  49.62177  20.69705
408  PL  Nowy Targ  49.47783  20.03228
409  PL  Nowy Wi\u015Bnicz  49.91465  20.46109
410  PL  Ojrze\u0144  52.7657  20.54315
411  PL  Nowy \u017Bmigr\u00F3d  49.60353  21.52376
412  PL  Nur  52.66826  22.32207
413  PL  Nurzec-Stacja  52.46249  23.08571
414  PL  Obraz\u00F3w  50.69276  21.65045
415  PL  Obryte  52.71633  21.24945
416  PL  Obsza  50.3152  22.95688
417  PL  Ochota  52.22096  20.98526
418  PL  Ochotnica Dolna  49.52682  20.34265
419  PL  Odrzyko\u0144  49.74057  21.74074
420  PL  Nozdrzec  49.77323  22.19865
421  PL  Nowodw\u00F3r  51.63901  22.10183
422  PL  Niechobrz  49.99472  21.87824
423  PL  Niedrzwica Du\u017Ca  51.11462  22.38911
424  PL  Krzesz\u00F3w  50.40381  22.34241
425  PL  Krzynow\u0142oga Ma\u0142a  53.15773  20.78579
426  PL  Krzywcza  49.79894  22.54549
427  PL  Krzywda  51.79519  22.19994
428  PL  Ksi\u0119\u017Comierz  50.90855  21.98965
429  PL  Ksi\u0119\u017Cpol  50.42323  22.73526
430  PL  Kuczbork-Osada  53.08619  20.04782
431  PL  Kun\u00F3w  50.96156  21.28058
432  PL  Krzemienica  50.0621  22.18054
433  PL  Kur\u00F3w  51.38941  22.18637
434  PL  Ku\u017Anica  53.51094  23.64953
435  PL  \u0141abowa  49.52766  20.85497
436  PL  \u0141abunie  50.65517  23.3662
437  PL  \u0141\u0105cko  49.55757  20.43586
438  PL  \u0141\u0105czna  51.00231  20.79712
439  PL  \u0141ag\u00F3w  50.77517  21.08431
440  PL  \u0141ajski  52.42873  20.94946
441  PL  Krempna  49.51128  21.50042
442  PL  Kury\u0142\u00F3wka  50.29976  22.46601
443  PL  Niedomice  50.10737  20.89548
444  PL  Krzeczowice  49.9892  22.46378
445  PL  Krynki  53.26444  23.77304
446  PL  Niedzica  49.41008  20.30273
447  PL  Nied\u017Awiada  49.98937  21.52162
448  PL  Nied\u017Awiada  51.54409  22.6914
449  PL  Nied\u017Awied\u017A  49.621  20.07794
450  PL  Nielisz  50.80067  23.04451
451  PL  Niemce  51.36155  22.63939
452  PL  Nienadowa  49.82901  22.42704
453  PL  Niepo\u0142omice  50.04066  20.22257
454  PL  Krzecz\u00F3w  49.98876  20.48779
455  PL  Niebocko  49.67774  22.10484
456  PL  \u0141u\u017Cna  49.71288  21.04637
457  PL  Lutory\u017C  49.96712  21.9124
458  PL  Kro\u015Bcienko Wy\u017Cne  49.67946  21.82898
459  PL  Kro\u015Bnica  49.44787  20.33956
460  PL  Krosno  49.68866  21.77058
461  PL  Kruklanki  54.08855  21.92227
462  PL  Krynica-Zdr\u00F3j  49.42225  20.95942
463  PL  Krynice  50.5876  23.38157
464  PL  Oksa  50.72874  20.10086
465  PL  Krasocin  50.88874  20.11863
466  PL  Nowe Sio\u0142o  50.23194  23.15884
467  PL  Nowe Miasto  52.65691  20.62838
